transaction_id,version,unique_bukken_key,bukken_meishou,shubetu,kouzou,shozaiti,shozaiti_todouhuken,shozaiti_sikutyouson,shozaiti_tyoumei,shozaiti_tyoume,kansei_nengetu,kaisuu,soukosuu,heyabangou,yachin,kyouekihi,sikikin,sikikin_tani,reikin,reikin_tani,hoshoukin,hoshoukin_tani,sikibiki_shoukyaku,sikibiki_shoukyaku_tani,kousinryou,kousinryou_tani,shozaikai,madori,madori_serviceroom_flg,senyuumenseki,tyuusharyou,tyuushajyou_bikou,hoken,tyukai_tesuryou,hoka_shokihiyou,hoka_shohiyou,hoshougaisha,koutuu_1_rosen,koutuu_1_eki,koutuu_1_bus,koutuu_1_toho,koutuu_2_rosen,koutuu_2_eki,koutuu_2_bus,koutuu_2_toho,koutuu_3_rosen,koutuu_3_eki,koutuu_3_bus,koutuu_3_toho,ikkaino_bukken_flg,nikai_ijyou_flg,saijyoukai_flg,kadobeya_flg,minamimuki_flg,gas_konro_flg,ih_cooking_heater_flg,konro_hutakuchi_ijyou_flg,system_kitchen_flg,counter_kitchen_flg,shokkiarai_kansouki_flg,disposer_flg,jyousuiki_flg,bath_toilet_betu_flg,oidaki_kinou_flg,onsui_senjyoutuki_danbaou_benza_flg,yokusitu_kansouki_flg,senmenjyo_dokuritu_flg,situnai_sentakuki_okiba_flg,yokusitu_danbou_flg,yokusitu_tv_flg,mist_sauna_flg,senpatu_senmen_keshoudai_flg,hitotubo_huro_flg,air_conditioner_flg,yukadanbou_flg,touyu_danbou_flg,gasu_danbou_flg,sekiyu_danbou_flg,nidaime_air_conditioner_flg,tosigas_flg,all_denka_flg,propane_gas__flg,maisonette_flg,flooring_flg,senyouniwa_flg,balcony_flg,balcony_nimenijyou_flg,roof_balcony_flg,barrier_free_flg,roft_flg,elevator_flg,sikitinai_gomi_okiba_flg,24jikan_gomi_dasi_ka_flg,bouonsitu_flg,tikasitu_flg,pair_glass_flg,24jikan_kanki_system_flg,koushaon_yuka_flg,shoumei_kigu_flg,situnai_monohosi_flg,hutari_nyukyo_ka_flg,jyosei_gentei_flg,pet_flg,gakki_soudan_ka_flg,jimusho_ka_flg,room_share_ka_flg,hoshounin_huyou_flg,tokutei_yuuryou_tintai_jyutaku_flg,customize_ka_flg,koureisha_soudan_flg,diy_ka_flg,monthly_ka_flg,auto_lock_flg,bouhan_camera_flg,tv_interphone_flg,kanrinin_ari_flg,takuhai_box_flg,home_security_flg,dimple_key_flg,dendou_shutter_flg,bouhanyou_glass_flg,shutter_amado_flg,card_key_flg,genkanjyou_nijyou_flg,jinkan_sensor_light_flg,cable_tv_flg,cs_antenna_flg,bs_antenna_flg,internet_siyouryou_muryou_flg,hikari_fiber_flg,internet_taiou_flg,walk_in_closet_flg,yukasita_shuunou_flg,shoes_box_flg,gaibu_monooki_flg,shuunou_space_flg,tyuushajyou_ari_flg,tyuushajyou_2daiijyou_flg,sikitinai_tyuushajyou_flg,bike_okiba_ari_flg,tyuurinnjyou_ari_flg,reform_renovation_flg,kagu_kaden_tuki_flg,designers_flg,tower_mansion_flg,bujyo_tintai_flg,kanseina_jyutakugai_flg,tile_hari_flg,athome_flg,homes_flg,suumo_flg,sinchiku_flg
5843,"2019-09-01 00:00:00",東京都中野区中央5丁目_201503_23_7_4_,"東京メトロ丸ノ内線 東高円寺駅 7階建 築5年",マンション,重量鉄骨造,東京都中野区中央5丁目,東京都,中野区,中央,5丁目,"2015-03-01 00:00:00",7,NULL,NULL,90000,5000,90000,円,90000,円,NULL,NULL,NULL,NULL,NULL,NULL,4,1K,NULL,22.99,NULL,NULL,1.2万円2年,NULL,合計2.18万円（内訳：カギ交換費用21600円／口座振替手数料108円）,NULL,"保証会社利用必 詳細はお問い合わせください",東京メトロ丸ノ内線,東高円寺,NULL,7,JR総武線,中野,NULL,10,東京メトロ丸ノ内線,新中野,NULL,10,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
7476,"2019-09-01 00:00:00",東京都中野区中央5丁目_200912_31_2_1_,"JR中央線 中野駅 2階建 築10年",アパート,軽量鉄骨造,東京都中野区中央5丁目,東京都,中野区,中央,5丁目,"2009-12-01 00:00:00",2,NULL,NULL,100000,3000,100000,円,200000,円,NULL,NULL,NULL,NULL,NULL,NULL,1,2K,NULL,30.65,NULL,NULL,1.8万円2年,NULL,NULL,NULL,"保証会社利用可 月額賃料等の30～50％",JR中央線,中野,NULL,12,東京メトロ丸ノ内線,東高円寺,NULL,4,東京メトロ丸ノ内線,新中野,NULL,9,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
8370,"2019-09-01 00:00:00",東京都中野区中央5丁目_201608_10_2_2_203,"アーバンプレイス中野中央A 203 ワンルーム",アパート,木造在来,東京都中野区中央5丁目,東京都,中野区,中央,5丁目,"2016-08-01 00:00:00",2,NULL,203,65000,4000,NULL,NULL,1,ヶ月,NULL,NULL,NULL,NULL,NULL,NULL,2,1R,NULL,10.25,NULL,NULL,"要 2年 18,000円",不要,"室内消毒料：16,200円、鍵交換代等：21,600円～",NULL,NULL,東京メトロ丸ノ内線,新中野,NULL,5,JR中央線,中野,NULL,11,東京メトロ丸ノ内線,東高円寺,NULL,9,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0
14086,"2019-09-01 00:00:00",東京都杉並区高円寺南4丁目_198908_37_5_2_,"シャトーアサイ 2階 2DK",マンション,鉄筋コンクリート造,東京都杉並区高円寺南4丁目,東京都,杉並区,高円寺南,4丁目,"1989-08-01 00:00:00",5,NULL,NULL,120000,8000,1,ヶ月,1,ヶ月,NULL,NULL,NULL,NULL,NULL,NULL,2,2DK,NULL,37.21,NULL,NULL,"要 2年 20,000円",NULL,"入居安心サポート：16,200円、書類作成費用：3,240円",NULL,NULL,JR中央線,高円寺,NULL,8,東京メトロ丸ノ内線,東高円寺,NULL,8,JR中央線,中野,NULL,16,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0
15010,"2019-09-01 00:00:00",東京都中野区中央5丁目_201602_12_2_1_,"新中野駅 5分 1階 ワンルーム",アパート,木造在来,東京都中野区中央5丁目,東京都,中野区,中央,5丁目,"2016-02-01 00:00:00",2,NULL,NULL,62000,5000,1,ヶ月,1,ヶ月,NULL,NULL,NULL,NULL,1,ヶ月,1,1R,NULL,11.65,NULL,NULL,"要 2年 15,000円 ジャパン少額短期",0.5ヶ月,"退去時清掃費：32,400円、アクト安心ライフ24：16,200円、鍵交換代等：20,000円～",NULL,NULL,東京メトロ丸ノ内線,新中野,NULL,5,JR総武線,中野,NULL,10,東京メトロ東西線,中野,NULL,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
24125,"2019-09-01 00:00:00",東京都中野区野方1丁目_199804_25_5_2_,"JR中央線 高円寺駅 5階建 築22年",マンション,重量鉄骨造,東京都中野区野方1丁目,東京都,中野区,野方,1丁目,"1998-04-01 00:00:00",5,NULL,NULL,86000,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,1R,NULL,25.3,25000,"近隣100m ",1.6万円2年,NULL,合計1.08万円（内訳：書類作成費用10800円）,NULL,"保証会社利用可 総賃料の50％～",JR中央線,高円寺,NULL,14,西武新宿線,野方,NULL,11,JR中央線,中野,NULL,18,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
24680,"2019-09-01 00:00:00",東京都杉並区高円寺南1丁目_199201_24_2_2_,グリーンハイム,アパート,木造在来,東京都杉並区高円寺南1丁目,東京都,杉並区,高円寺南,1丁目,"1992-01-01 00:00:00",2,NULL,NULL,58000,2000,58000,円,58000,円,NULL,NULL,NULL,NULL,NULL,NULL,2,1R,NULL,24,NULL,NULL,要,1.08ヶ月,NULL,更新料　新賃料1.00ヶ月分,"保証会社利用可 クレデンス：月額賃料等の50％（初回保証料）・2年目以降は1万円/年（更新料）",JR中央線,中野,NULL,8,東京メトロ丸ノ内線,東高円寺,NULL,6,JR中央線,高円寺,NULL,18,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0
28830,"2019-09-01 00:00:00",東京都中野区中央3丁目_201208_10_2_2_205,"フェリスボヌール 205 ワンルーム",アパート,木造在来,東京都中野区中央3丁目,東京都,中野区,中央,3丁目,"2012-08-01 00:00:00",2,NULL,205,57000,3000,1,ヶ月,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,1R,NULL,10.48,NULL,NULL,"要 2年 13,000円",NULL,"なし、鍵交換代等：10,800円～",NULL,NULL,JR総武線,中野,NULL,12,東京メトロ丸ノ内線,新中野,NULL,5,都営大江戸線,中野坂上,NULL,10,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0
30494,"2019-09-01 00:00:00",東京都中野区上高田1丁目_199011_18_2_2_,Cライフピアハピネス,アパート,木造在来,東京都中野区上高田1丁目,東京都,中野区,上高田,1丁目,"1990-11-01 00:00:00",2,14,NULL,57000,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,1R,NULL,17.5,NULL,NULL,要,3.078万円,"合計3.5万円（内訳：その他費用 35000円）",NULL,NULL,JR中央線,東中野,NULL,9,東京メトロ東西線,落合,NULL,8,JR中央線,中野,NULL,18,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
32248,"2019-09-01 00:00:00",東京都中野区若宮1丁目_199102_47_2_2_202,"グレースコート若宮 202 2DK",アパート,軽量鉄骨造,東京都中野区若宮1丁目,東京都,中野区,若宮,1丁目,"1991-02-01 00:00:00",2,NULL,202,95000,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,ヶ月,2,2DK,NULL,47.28,NULL,NULL,"要 2年 22,000円",1ヶ月,"サポート登録費：7,560円、新規鍵設定料：14,040円、修繕費：95,000円",NULL,NULL,西武新宿線,野方,NULL,8,JR総武線,高円寺,NULL,19,東京メトロ東西線,中野,NULL,31,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
