fetch_datetime,todofuken,shikuchoson,bld_name,room_name,room_madori,bld_address,access,num_rooms,chinryo,kanrihi,sikikin,reikin,kibo_kozo,menseki_tsubo,syunko_nengappi,keiyaku_kikan,kousinryo,torihiki_taiyo,parking,hoken,kanri_gaisya,kagi_koukan,kouza_furikae,hosyo_gaisya,setsubi,bikou
<built-in method now of type object at 0x10ce7f648>,東京都２３区,北区,グロリア大洋,６０２,1K,東京都北区志茂２丁目５９番１９,"東京メトロ南北線志茂 徒歩5分
ＪＲ埼京線赤羽 徒歩10分
     
     
     ",－,"74,000円／月","8,000円／月",1ヶ月,1.2ヶ月,鉄筋コンクリート造地上7階 ,26.02m2／7.87坪,1999年02月28日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,東葉ビル管理株式会社,"20,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ ＣＡＴＶ／コンロ／キッチン／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,北区,グロリア大洋,６０２,1K,東京都北区志茂２丁目５９番１９,"東京メトロ南北線志茂 徒歩5分
ＪＲ埼京線赤羽 徒歩10分
     
     
     ",－,"74,000円／月","8,000円／月",1ヶ月,1.2ヶ月,鉄筋コンクリート造地上7階 ,26.02m2／7.87坪,1999年02月28日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,東葉ビル管理株式会社,"20,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ ＣＡＴＶ／コンロ／キッチン／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,北区,グロリア大洋,６０２,1K,東京都北区志茂２丁目５９番１９,"東京メトロ南北線志茂 徒歩5分
ＪＲ埼京線赤羽 徒歩10分
     
     
     ",－,"74,000円／月","8,000円／月",1ヶ月,1.2ヶ月,鉄筋コンクリート造地上7階 ,26.02m2／7.87坪,1999年02月28日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,東葉ビル管理株式会社,"20,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ ＣＡＴＶ／コンロ／キッチン／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,北区,シエルトゥールロジュマン,３０２,1K,東京都北区赤羽二丁目３９番１号,"ＪＲ京浜東北線赤羽 徒歩7分
東京メトロ南北線赤羽岩淵 徒歩5分
     
     
     ",－,"93,000円／月","8,000円／月",1ヶ月,1.2ヶ月,鉄筋コンクリート造地上11階 ,25.28m2／7.64坪,2015年12月10日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,グローバルコミュニティ株式会社　東京支社,"20,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／給湯追い焚き／ＢＳ／ＣＳ／ コンロ／キッチン／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,北区,ルフォンプログレ滝野川,６０２,Studio,東京都北区滝野川６丁目４４番１２号,"ＪＲ埼京線板橋 徒歩8分
東京都交通局都営三田線西巣鴨 徒歩5分
     
     
     ",－,"93,000円／月","10,000円／月",1ヶ月,1ヶ月,鉄筋コンクリート造地上13階 ,25.60m2／7.74坪,2015年09月30日,24ヶ月,新賃料の1ヶ月分,貸主,相談,借家人賠償責任保険を付帯した火災保険にご加入いただきます,グローバルコミュニティ株式会社　東京支社,"20,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／ ＢＳ／ＣＳ／ ＣＡＴＶ／コンロ／キッチン／グリル／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,北区,シエルトゥールロジュマン,４０２,1K,東京都北区赤羽二丁目３９番１号,"ＪＲ京浜東北線赤羽 徒歩7分
東京メトロ南北線赤羽岩淵 徒歩5分
     
     
     ",－,"94,000円／月","8,000円／月",1ヶ月,1.2ヶ月,鉄筋コンクリート造地上11階 ,25.28m2／7.64坪,2015年12月10日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,グローバルコミュニティ株式会社　東京支社,"20,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／給湯追い焚き／ＢＳ／ＣＳ／ コンロ／キッチン／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,北区,ルフォンプログレ滝野川,１００２,Studio,東京都北区滝野川６丁目４４番１２号,"ＪＲ埼京線板橋 徒歩8分
東京都交通局都営三田線西巣鴨 徒歩5分
     
     
     ",－,"97,000円／月","10,000円／月",1ヶ月,1ヶ月,鉄筋コンクリート造地上13階 ,25.60m2／7.74坪,2015年09月30日,24ヶ月,新賃料の1ヶ月分,貸主,相談,借家人賠償責任保険を付帯した火災保険にご加入いただきます,グローバルコミュニティ株式会社　東京支社,"20,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／ ＢＳ／ＣＳ／ ＣＡＴＶ／コンロ／キッチン／グリル／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,北区,パークアクシス滝野川ラ　ブリーズ,４１８,Studio,東京都北区滝野川６－２１－７,"東京都交通局都営三田線西巣鴨 徒歩4分
ＪＲ埼京線板橋 徒歩9分
     
     
     ",－,"104,000円／月","10,000円／月",1ヶ月,1ヶ月,鉄筋コンクリート造地上17階地下1階,31.36m2／9.48坪,2014年01月30日,24ヶ月,新賃料の1ヶ月分,貸主,有,借家人賠償責任保険を付帯した火災保険にご加入いただきます,三井不動産ファシリティーズ株式会社,,,"40,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他2社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／ ＢＳ／ＣＳ／ ＣＡＴＶ／コンロ／ グリル／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,北区,パークアクシス駒込ＨＩＬＬＴＯＰ,１１１,Studio+WIC,東京都北区中里３－１８－４,"ＪＲ山手線駒込 徒歩8分
ＪＲ京浜東北線田端 徒歩11分
     
     
     ",－,"107,000円／月","10,000円／月",1ヶ月,1ヶ月,鉄筋コンクリート造地上6階 ,26.24m2／7.93坪,2014年12月26日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,毎日興業株式会社　東京オフィス,"15,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他2社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／給湯追い焚き／ＢＳ／ＣＳ／ ＣＡＴＶ／コンロ／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,北区,ハイホーム十条,４１１,2DK,東京都北区上十条４丁目２番１６,"ＪＲ埼京線十条 徒歩7分
ＪＲ京浜東北線東十条 徒歩9分
東京都交通局都営三田線板橋本町 徒歩15分
     
     ",－,"112,000円／月","8,000円／月",1ヶ月,1.2ヶ月,鉄骨鉄筋コンクリート造地上11階地下1階,51.14m2／15.46坪,1995年03月20日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます。,株式会社大京アステージ　東京第六支店,"20,000円",100円／月,"51,140円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 給湯追い焚き／ＢＳ／ ＣＡＴＶ／コンロ／キッチン／グリル／ オートロック／エレベーター／
