fetch_datetime,todofuken,shikuchoson,bld_name,room_name,room_madori,bld_address,access,num_rooms,chinryo,kanrihi,sikikin,reikin,kibo_kozo,menseki_tsubo,syunko_nengappi,keiyaku_kikan,kousinryo,torihiki_taiyo,parking,hoken,kanri_gaisya,kagi_koukan,kouza_furikae,hosyo_gaisya,setsubi,bikou
<built-in method now of type object at 0x10ce7f648>,東京都２３区,大田区,パーク・ノヴァ洗足池,７０２,1R,東京都大田区東雪谷１丁目１番３,"東京急行電鉄池上線洗足池 徒歩1分
     
     
     
     ",－,"79,000円／月","6,000円／月",1ヶ月,1ヶ月,鉄骨鉄筋コンクリート造地上10階 ,26.67m2／8.06坪,1990年03月31日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,株式会社ハリマビステム　東京本部,"20,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／冷蔵庫／ エアコン／ コンロ／キッチン／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,大田区,アットホームレジデンス,２１３,1K,東京都大田区鵜の木３－１９－１,"東京急行電鉄多摩川線鵜の木 徒歩6分
東京急行電鉄池上線久が原 徒歩12分
東京急行電鉄多摩川線沼部 徒歩7分
     
     ",－,"80,000円／月","10,000円／月",1ヶ月,1.2ヶ月,鉄筋コンクリート造地上5階 ,23.52m2／7.11坪,2014年03月07日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,株式会社東急コミュニティー　東京南支店,"20,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／給湯追い焚き／ＢＳ／ＣＳ／ ＣＡＴＶ／コンロ／キッチン／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,大田区,サンイースト池上,３０２,1K,東京都大田区池上６－２９－１４,"東京急行電鉄池上線池上 徒歩7分
     
     
     
     ",－,"81,000円／月","7,000円／月",1ヶ月,1.2ヶ月,鉄筋コンクリート造地上4階 ,28.05m2／8.48坪,2006年02月16日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,株式会社コーデック,"20,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ ＣＡＴＶ／コンロ／キッチン／グリル／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,大田区,ＭＳフォルム多摩川,７０５,1DK,東京都大田区多摩川１丁目２３番１号,"東京急行電鉄多摩川線矢口渡 徒歩5分
ＪＲ京浜東北線蒲田 徒歩23分
     
     
     ",－,"86,000円／月","6,000円／月",1ヶ月,1ヶ月,鉄筋コンクリート造地上7階地下1階,35.10m2／10.61坪,1990年02月01日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,三井不動産レジデンシャルサービス株式会社　資産マネジメント事,"20,000円",100円／月,"40,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ コンロ／キッチン／グリル／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,大田区,パークアクシス蒲田壱番館,２１０,Studio,東京都大田区蒲田本町２丁目１１番６,"ＪＲ京浜東北線蒲田 徒歩11分
京浜急行電鉄京浜急行本線京急蒲田 徒歩8分
京浜急行電鉄京浜急行本線雑色 徒歩12分
京浜急行電鉄京浜急行空港線糀谷 徒歩7分
     ",－,"88,000円／月","5,000円／月",1ヶ月,1ヶ月,鉄筋コンクリート造地上7階 ,23.44m2／7.09坪,2009年03月19日,24ヶ月,新賃料の1ヶ月分,貸主,相談,借家人賠償責任保険を付帯した火災保険にご加入いただきます,株式会社ハリマビステム,"15,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他2社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／ ＢＳ／ＣＳ／ ＣＡＴＶ／ キッチン／グリル／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,大田区,パークアクシス蒲田壱番館,５０３,Studio,東京都大田区蒲田本町２丁目１１番６,"ＪＲ京浜東北線蒲田 徒歩11分
京浜急行電鉄京浜急行本線京急蒲田 徒歩8分
京浜急行電鉄京浜急行本線雑色 徒歩12分
京浜急行電鉄京浜急行空港線糀谷 徒歩7分
     ",－,"89,000円／月","5,000円／月",1ヶ月,1ヶ月,鉄筋コンクリート造地上7階 ,23.44m2／7.09坪,2009年03月19日,24ヶ月,新賃料の1ヶ月分,貸主,相談,借家人賠償責任保険を付帯した火災保険にご加入いただきます,株式会社ハリマビステム,"15,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他2社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／ ＢＳ／ＣＳ／ ＣＡＴＶ／コンロ／キッチン／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,大田区,パーク・ノヴァ洗足池,７０２,1R,東京都大田区東雪谷１丁目１番３,"東京急行電鉄池上線洗足池 徒歩1分
     
     
     
     ",－,"79,000円／月","6,000円／月",1ヶ月,1ヶ月,鉄骨鉄筋コンクリート造地上10階 ,26.67m2／8.06坪,1990年03月31日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,株式会社ハリマビステム　東京本部,"20,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／冷蔵庫／ エアコン／ コンロ／キッチン／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,大田区,Ａｖａｎｃｅｒ　ｉ’ｌｌ　羽田,３１１,1K,東京都大田区羽田五丁目１１番２,"京浜急行電鉄京浜急行空港線穴守稲荷 徒歩4分
     
     
     
     ",－,"93,000円／月","8,000円／月",1ヶ月,1.2ヶ月,鉄筋コンクリート造地上4階 ,29.64m2／8.96坪,2011年09月14日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,鈴与三和建物株式会社,"20,000円",100円／月,"35,000円","区分：任意
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／ ＢＳ／ＣＳ／ コンロ／キッチン／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,大田区,パーク・ノヴァ洗足池,７０２,1R,東京都大田区東雪谷１丁目１番３,"東京急行電鉄池上線洗足池 徒歩1分
     
     
     
     ",－,"79,000円／月","6,000円／月",1ヶ月,1ヶ月,鉄骨鉄筋コンクリート造地上10階 ,26.67m2／8.06坪,1990年03月31日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,株式会社ハリマビステム　東京本部,"20,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／冷蔵庫／ エアコン／ コンロ／キッチン／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,大田区,ＭＦＰＲコート蒲田,４０１,1K,東京都大田区蒲田５丁目３２－５,"ＪＲ京浜東北線蒲田 徒歩7分
京浜急行電鉄京浜急行本線京急蒲田 徒歩10分
     
     
     ",－,"94,000円／月","8,000円／月",1ヶ月,1ヶ月,鉄筋コンクリート造地上10階 ,23.01m2／6.96坪,2006年09月26日,24ヶ月,新賃料の1ヶ月分,貸主,相談,借家人賠償責任保険を付帯した火災保険にご加入いただきます,株式会社ハリマビステム　東京本部,"20,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他2社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／洗濯機／乾燥機／ ＢＳ／ＣＳ／ ＣＡＴＶ／コンロ／キッチン／ オートロック／エレベーター／
