fetch_datetime,todofuken,shikuchoson,bld_name,room_name,room_madori,bld_address,access,num_rooms,chinryo,kanrihi,sikikin,reikin,kibo_kozo,menseki_tsubo,syunko_nengappi,keiyaku_kikan,kousinryo,torihiki_taiyo,parking,hoken,kanri_gaisya,kagi_koukan,kouza_furikae,hosyo_gaisya,setsubi,bikou
<built-in method now of type object at 0x10ce7f648>,東京都２３区,板橋区,カナリーテラス志村坂上,２０１,1DK,東京都板橋区志村３丁目１－１７,"東京都交通局都営三田線志村坂上 徒歩7分
東京都交通局都営三田線志村三丁目 徒歩7分
     
     
     ",－,"73,000円／月","7,000円／月",1ヶ月,1.2ヶ月,鉄骨鉄筋コンクリート造地上7階 ,31.22m2／9.44坪,2003年02月28日,24ヶ月,新賃料の1ヶ月分,貸主,有,借家人賠償責任保険を付帯した火災保険にご加入いただきます,株式会社エム・エル・ビー　新百合ヶ丘店,"20,000円",100円／月,"40,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 乾燥機／ ＢＳ／ ＣＡＴＶ／コンロ／キッチン／グリル／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,板橋区,パークアクシス新板橋イースト,２０２,1K,東京都板橋区板橋４丁目１番１号,"東京都交通局都営三田線新板橋 徒歩2分
ＪＲ埼京線板橋 徒歩8分
東京都交通局都営三田線西巣鴨 徒歩11分
     
     ",－,"79,000円／月","5,000円／月",1ヶ月,無,鉄筋コンクリート造地上14階地下1階,20.49m2／6.19坪,2007年02月20日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,毎日興業株式会社　東京オフィス,"15,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他2社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／ ＢＳ／ＣＳ／ ＣＡＴＶ／コンロ／キッチン／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,板橋区,カナリーテラス志村坂上,２０１,1DK,東京都板橋区志村３丁目１－１７,"東京都交通局都営三田線志村坂上 徒歩7分
東京都交通局都営三田線志村三丁目 徒歩7分
     
     
     ",－,"73,000円／月","7,000円／月",1ヶ月,1.2ヶ月,鉄骨鉄筋コンクリート造地上7階 ,31.22m2／9.44坪,2003年02月28日,24ヶ月,新賃料の1ヶ月分,貸主,有,借家人賠償責任保険を付帯した火災保険にご加入いただきます,株式会社エム・エル・ビー　新百合ヶ丘店,"20,000円",100円／月,"40,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 乾燥機／ ＢＳ／ ＣＡＴＶ／コンロ／キッチン／グリル／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,板橋区,パークアクシス赤塚,２０９,Studio+SIC+WIC,東京都板橋区赤塚二丁目２番１８号,"東京メトロ有楽町線地下鉄赤塚 徒歩3分
東武鉄道東武東上線下赤塚 徒歩1分
     
     
     ",－,"86,000円／月","10,000円／月",1ヶ月,1ヶ月,鉄筋コンクリート造（一部鉄骨造）地上13階 ,25.16m2／7.61坪,2018年10月11日,24ヶ月,新賃料の1ヶ月分,貸主,有,借家人賠償責任保険を付帯した火災保険にご加入いただきます,三井不動産ファシリティーズ株式会社,,100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他2社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／ ＢＳ／ＣＳ／ ＣＡＴＶ／コンロ／ グリル／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,板橋区,カナリーテラス志村坂上,２０１,1DK,東京都板橋区志村３丁目１－１７,"東京都交通局都営三田線志村坂上 徒歩7分
東京都交通局都営三田線志村三丁目 徒歩7分
     
     
     ",－,"73,000円／月","7,000円／月",1ヶ月,1.2ヶ月,鉄骨鉄筋コンクリート造地上7階 ,31.22m2／9.44坪,2003年02月28日,24ヶ月,新賃料の1ヶ月分,貸主,有,借家人賠償責任保険を付帯した火災保険にご加入いただきます,株式会社エム・エル・ビー　新百合ヶ丘店,"20,000円",100円／月,"40,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 乾燥機／ ＢＳ／ ＣＡＴＶ／コンロ／キッチン／グリル／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,板橋区,パークアクシス板橋本町,８０４,Studio,東京都板橋区宮本町１２－１１,"東京都交通局都営三田線板橋本町 徒歩4分
東武鉄道東武東上線中板橋 徒歩15分
     
     
     ",－,"87,000円／月","5,000円／月",1ヶ月,無,鉄筋コンクリート造地上12階 ,27.56m2／8.33坪,2009年05月15日,24ヶ月,新賃料の1ヶ月分,貸主,有,借家人賠償責任保険を付帯した火災保険にご加入いただきます,毎日興業株式会社　東京オフィス,"15,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他2社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／ ＢＳ／ＣＳ／ ＣＡＴＶ／コンロ／キッチン／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,板橋区,パークアクシス赤塚,５１０,Studio+SIC,東京都板橋区赤塚二丁目２番１８号,"東京メトロ有楽町線地下鉄赤塚 徒歩3分
東武鉄道東武東上線下赤塚 徒歩1分
     
     
     ",－,"90,000円／月","10,000円／月",1ヶ月,1ヶ月,鉄筋コンクリート造（一部鉄骨造）地上13階 ,25.16m2／7.61坪,2018年10月11日,24ヶ月,新賃料の1ヶ月分,貸主,有,借家人賠償責任保険を付帯した火災保険にご加入いただきます,三井不動産ファシリティーズ株式会社,,100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他2社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／ ＢＳ／ＣＳ／ ＣＡＴＶ／コンロ／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,板橋区,パークキューブ板橋本町,１２１２,Studio+WIC,東京都板橋区大和町１８番６,"東京都交通局都営三田線板橋本町 徒歩1分
東京都交通局都営三田線本蓮沼 徒歩9分
     
     
     ",－,"93,000円／月","5,000円／月",1ヶ月,無,鉄筋コンクリート造（一部鉄骨造）地上14階 ,26.80m2／8.10坪,2008年03月27日,24ヶ月,新賃料の1ヶ月分,貸主,有,借家人賠償責任保険を付帯した火災保険にご加入いただきます,毎日興業株式会社　東京オフィス,"15,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他2社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／給湯追い焚き／ＢＳ／ＣＳ／ ＣＡＴＶ／コンロ／キッチン／グリル／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,板橋区,パークキューブ新板橋,１１０５,1K,東京都板橋区板橋一丁目４４番１０号,"東京都交通局都営三田線新板橋 徒歩2分
ＪＲ埼京線板橋 徒歩6分
東武鉄道東武東上線下板橋 徒歩6分
     
     ",－,"93,000円／月","10,000円／月",1ヶ月,1ヶ月,鉄筋コンクリート造地上13階 ,25.23m2／7.63坪,2016年11月30日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,グローバルコミュニティ株式会社　東京支社,"15,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他2社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／ ＢＳ／ＣＳ／ コンロ／キッチン／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,板橋区,パークキューブ新板橋,１２０１,1K,東京都板橋区板橋一丁目４４番１０号,"東京都交通局都営三田線新板橋 徒歩2分
ＪＲ埼京線板橋 徒歩6分
東武鉄道東武東上線下板橋 徒歩6分
     
     ",－,"93,000円／月","10,000円／月",1ヶ月,1ヶ月,鉄筋コンクリート造地上13階 ,25.46m2／7.70坪,2016年11月30日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,グローバルコミュニティ株式会社　東京支社,"15,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他2社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／ ＢＳ／ＣＳ／ コンロ／キッチン／ オートロック／エレベーター／
