fetch_datetime,todofuken,shikuchoson,bld_name,room_name,room_madori,bld_address,access,num_rooms,chinryo,kanrihi,sikikin,reikin,kibo_kozo,menseki_tsubo,syunko_nengappi,keiyaku_kikan,kousinryo,torihiki_taiyo,parking,hoken,kanri_gaisya,kagi_koukan,kouza_furikae,hosyo_gaisya,setsubi,bikou
<built-in method now of type object at 0x10ce7f648>,東京都２３区,江戸川区,松本ビル,２１０,1R,東京都江戸川区南葛西６丁目６－７,"ＪＲ京葉線葛西臨海公園 徒歩18分
東京メトロ東西線葛西バス10分徒歩2分
     
     
     ",－,"50,000円／月","5,000円／月",1ヶ月,1.2ヶ月,鉄筋コンクリート造地上6階 ,19.44m2／5.88坪,1992年03月01日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,東葉ビル管理株式会社,"20,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",エアコン／ ＢＳ／ キッチン／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,江戸川区,松本ビル,２１０,1R,東京都江戸川区南葛西６丁目６－７,"ＪＲ京葉線葛西臨海公園 徒歩18分
東京メトロ東西線葛西バス10分徒歩2分
     
     
     ",－,"50,000円／月","5,000円／月",1ヶ月,1.2ヶ月,鉄筋コンクリート造地上6階 ,19.44m2／5.88坪,1992年03月01日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,東葉ビル管理株式会社,"20,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",エアコン／ ＢＳ／ キッチン／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,江戸川区,グラン・パアレ２,３０１,1K,東京都江戸川区東葛西２丁目２８番１０号,"東京メトロ東西線葛西 徒歩10分
     
     
     
     ",－,"66,000円／月","5,000円／月",1ヶ月,1.2ヶ月,鉄骨鉄筋コンクリート造地上6階 ,22.68m2／6.86坪,2000年11月01日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,東葉ビル管理株式会社　東京営業所,"20,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ ＢＳ／ ＣＡＴＶ／コンロ／キッチン／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,江戸川区,グラン・パアレ２,４０２,1K,東京都江戸川区東葛西２丁目２８番１０号,"東京メトロ東西線葛西 徒歩10分
     
     
     
     ",－,"67,000円／月","5,000円／月",1ヶ月,1.2ヶ月,鉄骨鉄筋コンクリート造地上6階 ,22.68m2／6.86坪,2000年11月01日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,東葉ビル管理株式会社　東京営業所,"20,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ ＢＳ／ ＣＡＴＶ／コンロ／キッチン／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,江戸川区,グラン・パァレ１,４０６,1R,東京都江戸川区中葛西３丁目２０－２,"東京メトロ東西線葛西 徒歩4分
     
     
     
     ",－,"69,000円／月","8,000円／月",1ヶ月,1.2ヶ月,鉄筋コンクリート造地上7階 ,24.00m2／7.26坪,1997年12月01日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,東葉ビル管理株式会社　東京営業所,"20,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ ＢＳ／ ＣＡＴＶ／コンロ／キッチン／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,江戸川区,グラン・パァレ１,７０７,1R,東京都江戸川区中葛西３丁目２０－２,"東京メトロ東西線葛西 徒歩4分
     
     
     
     ",－,"72,000円／月","8,000円／月",1ヶ月,1.2ヶ月,鉄筋コンクリート造地上7階 ,24.00m2／7.26坪,1997年12月01日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,東葉ビル管理株式会社　東京営業所,"20,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ ＢＳ／ ＣＡＴＶ／コンロ／キッチン／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,江戸川区,葛西ハイデンス,１０１,2LDK,東京都江戸川区南葛西５丁目８番８号,"ＪＲ京葉線葛西臨海公園 徒歩15分
東京メトロ東西線葛西バス8分徒歩3分
     
     
     ",－,"78,000円／月","10,000円／月",1ヶ月,1ヶ月,壁式プレキャスト鉄筋コンクリート造地上5階 ,55.70m2／16.84坪,1982年03月01日,24ヶ月,新賃料の1ヶ月分,貸主代理,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます。,日本ハウズイング株式会社　本社住宅営業部管理１課,"20,000円",100円／月,"55,700円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ ＣＡＴＶ／ キッチン／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,江戸川区,松本ビル,２１０,1R,東京都江戸川区南葛西６丁目６－７,"ＪＲ京葉線葛西臨海公園 徒歩18分
東京メトロ東西線葛西バス10分徒歩2分
     
     
     ",－,"50,000円／月","5,000円／月",1ヶ月,1.2ヶ月,鉄筋コンクリート造地上6階 ,19.44m2／5.88坪,1992年03月01日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,東葉ビル管理株式会社,"20,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",エアコン／ ＢＳ／ キッチン／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,江戸川区,松本ビル,２１０,1R,東京都江戸川区南葛西６丁目６－７,"ＪＲ京葉線葛西臨海公園 徒歩18分
東京メトロ東西線葛西バス10分徒歩2分
     
     
     ",－,"50,000円／月","5,000円／月",1ヶ月,1.2ヶ月,鉄筋コンクリート造地上6階 ,19.44m2／5.88坪,1992年03月01日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,東葉ビル管理株式会社,"20,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",エアコン／ ＢＳ／ キッチン／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,江戸川区,松本ビル,２１０,1R,東京都江戸川区南葛西６丁目６－７,"ＪＲ京葉線葛西臨海公園 徒歩18分
東京メトロ東西線葛西バス10分徒歩2分
     
     
     ",－,"50,000円／月","5,000円／月",1ヶ月,1.2ヶ月,鉄筋コンクリート造地上6階 ,19.44m2／5.88坪,1992年03月01日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,東葉ビル管理株式会社,"20,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",エアコン／ ＢＳ／ キッチン／ オートロック／エレベーター／
