fetch_datetime,todofuken,shikuchoson,bld_name,room_name,room_madori,bld_address,access,num_rooms,chinryo,kanrihi,sikikin,reikin,kibo_kozo,menseki_tsubo,syunko_nengappi,keiyaku_kikan,kousinryo,torihiki_taiyo,parking,hoken,kanri_gaisya,kagi_koukan,kouza_furikae,hosyo_gaisya,setsubi,bikou
<built-in method now of type object at 0x10ce7f648>,東京都２３区,江東区,リバーサイド永代,４０５,1R,東京都江東区永代２－１－６,"東京メトロ東西線門前仲町 徒歩5分
     
     
     
     ",－,"65,000円／月","6,000円／月",1ヶ月,1.2ヶ月,鉄筋コンクリート造地上5階 ,18.01m2／5.44坪,1986年03月31日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,平和サービス株式会社,"20,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",冷蔵庫／ エアコン／ ＣＡＴＶ／コンロ／キッチン／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,江東区,サンゼウス亀戸,６０４,1K,東京都江東区亀戸２－４３－７,"ＪＲ総武線亀戸 徒歩7分
     
     
     
     ",－,"86,000円／月","8,000円／月",1ヶ月,1.2ヶ月,鉄筋コンクリート造地上10階 ,28.82m2／8.71坪,2005年02月28日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます。,三井不動産レジデンシャルサービス株式会社　東京東支店,"20,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／ ＢＳ／ＣＳ／ ＣＡＴＶ／コンロ／キッチン／グリル／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,江東区,サンゼウス亀戸,８０１,1K,東京都江東区亀戸２－４３－７,"ＪＲ総武線亀戸 徒歩7分
     
     
     
     ",－,"88,000円／月","8,000円／月",1ヶ月,1.2ヶ月,鉄筋コンクリート造地上10階 ,28.82m2／8.71坪,2005年02月28日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます。,三井不動産レジデンシャルサービス株式会社　東京東支店,"20,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／ ＢＳ／ＣＳ／ ＣＡＴＶ／コンロ／キッチン／グリル／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,江東区,リバーサイド永代,４０５,1R,東京都江東区永代２－１－６,"東京メトロ東西線門前仲町 徒歩5分
     
     
     
     ",－,"65,000円／月","6,000円／月",1ヶ月,1.2ヶ月,鉄筋コンクリート造地上5階 ,18.01m2／5.44坪,1986年03月31日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,平和サービス株式会社,"20,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",冷蔵庫／ エアコン／ ＣＡＴＶ／コンロ／キッチン／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,江東区,リバーサイド永代,４０５,1R,東京都江東区永代２－１－６,"東京メトロ東西線門前仲町 徒歩5分
     
     
     
     ",－,"65,000円／月","6,000円／月",1ヶ月,1.2ヶ月,鉄筋コンクリート造地上5階 ,18.01m2／5.44坪,1986年03月31日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,平和サービス株式会社,"20,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",冷蔵庫／ エアコン／ ＣＡＴＶ／コンロ／キッチン／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,江東区,ＭＬコート木場,７０１,1DK,東京都江東区木場２丁目１８番５号,"東京メトロ東西線木場 徒歩3分
     
     
     
     ",－,"98,000円／月","8,000円／月",1ヶ月,1.2ヶ月,鉄骨鉄筋コンクリート（一部鉄筋コンクリート）造地上11階 ,32.00m2／9.68坪,2001年02月01日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,新日本管財株式会社,"20,000円",100円／月,"40,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／給湯追い焚き／ＢＳ／ コンロ／キッチン／グリル／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,江東区,アグリパーク深川,６０４,1K,東京都江東区福住１丁目１２－１５,"東京メトロ東西線門前仲町 徒歩4分
東京都交通局都営大江戸線門前仲町 徒歩4分
     
     
     ",－,"99,000円／月","10,000円／月",1ヶ月,1.2ヶ月,鉄筋コンクリート造地上10階 ,27.00m2／8.16坪,2009年03月13日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,東葉ビル管理株式会社,"20,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／給湯追い焚き／ＢＳ／ＣＳ／ ＣＡＴＶ／コンロ／キッチン／ オートロック／エレベーター／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,江東区,リバーサイド永代,４０５,1R,東京都江東区永代２－１－６,"東京メトロ東西線門前仲町 徒歩5分
     
     
     
     ",－,"65,000円／月","6,000円／月",1ヶ月,1.2ヶ月,鉄筋コンクリート造地上5階 ,18.01m2／5.44坪,1986年03月31日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,平和サービス株式会社,"20,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",冷蔵庫／ エアコン／ ＣＡＴＶ／コンロ／キッチン／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,江東区,リバーサイド永代,４０５,1R,東京都江東区永代２－１－６,"東京メトロ東西線門前仲町 徒歩5分
     
     
     
     ",－,"65,000円／月","6,000円／月",1ヶ月,1.2ヶ月,鉄筋コンクリート造地上5階 ,18.01m2／5.44坪,1986年03月31日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,平和サービス株式会社,"20,000円",100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",冷蔵庫／ エアコン／ ＣＡＴＶ／コンロ／キッチン／
<built-in method now of type object at 0x10ce7f648>,東京都２３区,江東区,パークアクシス木場キャナル　イースト,３０７,1K,東京都江東区塩浜二丁目４番３３号,"東京メトロ東西線木場 徒歩11分
東京メトロ有楽町線豊洲 徒歩14分
     
     
     ",64戸,"100,000円／月","10,000円／月",1ヶ月,1ヶ月,鉄筋コンクリート造地上9階 ,25.84m2／7.81坪,2020年02月21日,24ヶ月,新賃料の1ヶ月分,貸主,相談,借家人賠償責任保険を付帯した火災保険にご加入いただきます,三井不動産ファシリティーズ株式会社,,100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他2社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／ ＢＳ／ コンロ／キッチン／ オートロック／エレベーター／
