fetch_datetime,todofuken,shikuchoson,bld_name,room_name,room_madori,bld_address,access,num_rooms,chinryo,kanrihi,sikikin,reikin,kibo_kozo,menseki_tsubo,syunko_nengappi,keiyaku_kikan,kousinryo,torihiki_taiyo,parking,hoken,kanri_gaisya,kagi_koukan,kouza_furikae,hosyo_gaisya,setsubi,bikou
<built-in method now of type object at 0x10a49a648>,東京都２３区,足立区,Ｓｕｎｎｙ　Ｓｉｄｅ　Ｆｏｒｅｓｔ,２０５,1K,東京都足立区綾瀬４丁目３０番１２号,"ＪＲ常磐線綾瀬 徒歩9分
東京メトロ千代田線綾瀬 徒歩9分
     
     
     ",27戸,"92,000円／月",無,1ヶ月,2ヶ月,鉄筋コンクリート造地上6階 ,25.20m2／7.62坪,2020年02月28日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,未定,,100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／ ＢＳ／ＣＳ／ コンロ／キッチン／ オートロック／エレベーター／
<built-in method now of type object at 0x10a49a648>,東京都２３区,足立区,Ｓｕｎｎｙ　Ｓｉｄｅ　Ｆｏｒｅｓｔ,２０６,1K,東京都足立区綾瀬４丁目３０番１２号,"ＪＲ常磐線綾瀬 徒歩9分
東京メトロ千代田線綾瀬 徒歩9分
     
     
     ",27戸,"92,000円／月",無,1ヶ月,2ヶ月,鉄筋コンクリート造地上6階 ,25.20m2／7.62坪,2020年02月28日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,未定,,100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／ ＢＳ／ＣＳ／ コンロ／キッチン／ オートロック／エレベーター／
<built-in method now of type object at 0x10a49a648>,東京都２３区,足立区,Ｓｕｎｎｙ　Ｓｉｄｅ　Ｆｏｒｅｓｔ,１０５,1K,東京都足立区綾瀬４丁目３０番１２号,"ＪＲ常磐線綾瀬 徒歩9分
東京メトロ千代田線綾瀬 徒歩9分
     
     
     ",27戸,"93,000円／月",無,1ヶ月,2ヶ月,鉄筋コンクリート造地上6階 ,25.20m2／7.62坪,2020年02月28日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,未定,,100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／ ＢＳ／ＣＳ／ コンロ／キッチン／ 専用庭／オートロック／エレベーター／
<built-in method now of type object at 0x10a49a648>,東京都２３区,足立区,Ｓｕｎｎｙ　Ｓｉｄｅ　Ｆｏｒｅｓｔ,２０３,1K,東京都足立区綾瀬４丁目３０番１２号,"ＪＲ常磐線綾瀬 徒歩9分
東京メトロ千代田線綾瀬 徒歩9分
     
     
     ",27戸,"93,000円／月",無,1ヶ月,2ヶ月,鉄筋コンクリート造地上6階 ,27.28m2／8.25坪,2020年02月28日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,未定,,100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／ ＢＳ／ＣＳ／ コンロ／キッチン／ オートロック／エレベーター／
<built-in method now of type object at 0x10a49a648>,東京都２３区,足立区,Ｓｕｎｎｙ　Ｓｉｄｅ　Ｆｏｒｅｓｔ,２０７,1K,東京都足立区綾瀬４丁目３０番１２号,"ＪＲ常磐線綾瀬 徒歩9分
東京メトロ千代田線綾瀬 徒歩9分
     
     
     ",27戸,"93,000円／月",無,1ヶ月,2ヶ月,鉄筋コンクリート造地上6階 ,27.28m2／8.25坪,2020年02月28日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,未定,,100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／ ＢＳ／ＣＳ／ コンロ／キッチン／ オートロック／エレベーター／
<built-in method now of type object at 0x10a49a648>,東京都２３区,足立区,Ｓｕｎｎｙ　Ｓｉｄｅ　Ｆｏｒｅｓｔ,１０３,1K,東京都足立区綾瀬４丁目３０番１２号,"ＪＲ常磐線綾瀬 徒歩9分
東京メトロ千代田線綾瀬 徒歩9分
     
     
     ",27戸,"94,000円／月",無,1ヶ月,2ヶ月,鉄筋コンクリート造地上6階 ,27.28m2／8.25坪,2020年02月28日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,未定,,100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／ ＢＳ／ＣＳ／ コンロ／キッチン／ 専用庭／オートロック／エレベーター／
<built-in method now of type object at 0x10a49a648>,東京都２３区,足立区,東京Ｈｉｇｈｔｏｗｅｒ,５０１,1LDK+WIC,東京都足立区千住大川町６－１８,"東京メトロ日比谷線北千住 徒歩13分
ＪＲ常磐線北千住 徒歩13分
東京メトロ千代田線北千住 徒歩13分
東武鉄道東武スカイツリーライン北千住 徒歩13分
首都圏新都市鉄道つくばエクスプレス北千住 徒歩13分",－,"116,000円／月","10,000円／月",1ヶ月,1.7ヶ月,鉄筋コンクリート造地上13階地下1階,39.44m2／11.93坪,2018年01月05日,24ヶ月,新賃料の1ヶ月分,貸主,有,借家人賠償責任保険を付帯した火災保険にご加入いただきます,グローバルコミュニティ株式会社　東京支社,"20,000円",100円／月,"40,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／給湯追い焚き／ＢＳ／ＣＳ／ コンロ／キッチン／グリル／ オートロック／エレベーター／
<built-in method now of type object at 0x10a49a648>,東京都２３区,足立区,東京Ｈｉｇｈｔｏｗｅｒ,５０２,1LDK+WIC,東京都足立区千住大川町６－１８,"東京メトロ日比谷線北千住 徒歩13分
ＪＲ常磐線北千住 徒歩13分
東京メトロ千代田線北千住 徒歩13分
東武鉄道東武スカイツリーライン北千住 徒歩13分
首都圏新都市鉄道つくばエクスプレス北千住 徒歩13分",－,"116,000円／月","10,000円／月",1ヶ月,1.7ヶ月,鉄筋コンクリート造地上13階地下1階,39.94m2／12.08坪,2018年01月05日,24ヶ月,新賃料の1ヶ月分,貸主,有,借家人賠償責任保険を付帯した火災保険にご加入いただきます,グローバルコミュニティ株式会社　東京支社,"20,000円",100円／月,"40,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／給湯追い焚き／ＢＳ／ＣＳ／ コンロ／キッチン／グリル／ オートロック／エレベーター／
<built-in method now of type object at 0x10a49a648>,東京都２３区,足立区,Ｓｕｎｎｙ　Ｓｉｄｅ　Ｆｏｒｅｓｔ,２０６,1K,東京都足立区綾瀬４丁目３０番１２号,"ＪＲ常磐線綾瀬 徒歩9分
東京メトロ千代田線綾瀬 徒歩9分
     
     
     ",27戸,"92,000円／月",無,1ヶ月,2ヶ月,鉄筋コンクリート造地上6階 ,25.20m2／7.62坪,2020年02月28日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,未定,,100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／ ＢＳ／ＣＳ／ コンロ／キッチン／ オートロック／エレベーター／
<built-in method now of type object at 0x10a49a648>,東京都２３区,足立区,Ｓｕｎｎｙ　Ｓｉｄｅ　Ｆｏｒｅｓｔ,１０５,1K,東京都足立区綾瀬４丁目３０番１２号,"ＪＲ常磐線綾瀬 徒歩9分
東京メトロ千代田線綾瀬 徒歩9分
     
     
     ",27戸,"93,000円／月",無,1ヶ月,2ヶ月,鉄筋コンクリート造地上6階 ,25.20m2／7.62坪,2020年02月28日,24ヶ月,新賃料の1ヶ月分,貸主,無,借家人賠償責任保険を付帯した火災保険にご加入いただきます,未定,,100円／月,"35,000円","区分：必須
保証会社：ﾚｼﾞﾃﾞﾝﾄｱｼｽﾀﾝｽ(株) 他1社
条件：初回保証委託料(最低20,000円)：月額賃料等の50％、 ２年目以降：9,600円/年",バルコニー／ エアコン／ 浴室乾燥機／ ＢＳ／ＣＳ／ コンロ／キッチン／ 専用庭／オートロック／エレベーター／
